First Type,Second Type,Third Type,Defensive Score,Offensive Score,Total Score
Fire,Ice,Bug,-0.5,10.0,9.5
Fire,Ice,Rock,-8.0,10.0,2.0
Fire,Ice,Ghost,6.5,10.0,16.5
Fire,Ice,Dragon,-1.5,10.0,8.5
Fire,Fighting,Poison,-2.5,10.0,7.5
Fire,Fighting,Ground,0.5,10.0,10.5
Fire,Fighting,Flying,3.25,10.0,13.25
Fire,Fighting,Psychic,6.0,10.0,16.0
Fire,Fighting,Bug,-4.0,10.0,6.0
Fire,Fighting,Rock,-3.0,10.0,7.0
Fire,Fighting,Ghost,7.75,10.0,17.75
Fire,Fighting,Dragon,2.5,10.0,12.5
Fire,Poison,Ground,-0.5,4.0,3.5
Fire,Poison,Flying,4.25,4.0,8.25
Fire,Poison,Psychic,4.0,4.0,8.0
Fire,Poison,Bug,-5.75,4.0,-1.75
Fire,Poison,Rock,4.0,4.0,8.0
Fire,Poison,Ghost,6.0,4.0,10.0
Fire,Poison,Dragon,0.25,4.0,4.25
Fire,Ground,Flying,7.5,14.0,21.5
Fire,Ground,Psychic,7.0,14.0,21.0
Fire,Ground,Bug,-1.0,14.0,13.0
Fire,Ground,Rock,6.0,14.0,20.0
Fire,Ground,Ghost,10.0,14.0,24.0
Fire,Ground,Dragon,2.5,14.0,16.5
Fire,Flying,Psychic,10.0,6.0,16.0
Fire,Flying,Bug,4.75,6.0,10.75
Fire,Flying,Rock,5.0,6.0,11.0
Fire,Flying,Ghost,10.25,6.0,16.25
Fire,Flying,Dragon,4.75,6.0,10.75
Fire,Psychic,Bug,2.0,10.0,12.0
Fire,Psychic,Rock,3.5,10.0,13.5
Fire,Psychic,Ghost,16.0,10.0,26.0
Fire,Psychic,Dragon,9.0,10.0,19.0
Fire,Bug,Rock,-4.0,8.0,4.0
Fire,Bug,Ghost,4.0,8.0,12.0
Fire,Bug,Dragon,-1.25,8.0,6.75
Fire,Rock,Ghost,6.5,10.0,16.5
Fire,Rock,Dragon,0.75,10.0,10.75
Fire,Ghost,Dragon,12.5,8.0,20.5
Water,Electric,Grass,1.5,6.0,7.5
Water,Electric,Ice,-0.5,6.0,5.5
Water,Electric,Fighting,4.0,6.0,10.0
Water,Electric,Poison,3.0,6.0,9.0
Water,Electric,Ground,5.0,6.0,11.0
Water,Electric,Flying,10.0,6.0,16.0
Water,Electric,Psychic,10.0,6.0,16.0
Water,Electric,Bug,2.0,6.0,8.0
Water,Electric,Rock,1.0,6.0,7.0
Water,Electric,Ghost,14.0,6.0,20.0
Water,Electric,Dragon,7.0,6.0,13.0
Water,Grass,Ice,-4.5,4.0,-0.5
Water,Grass,Fighting,-1.5,4.0,2.5
Water,Grass,Poison,-1.5,4.0,2.5
Water,Grass,Ground,2.0,4.0,6.0
Water,Grass,Flying,1.5,4.0,5.5
Water,Grass,Psychic,4.5,4.0,8.5
Water,Grass,Bug,-5.0,4.0,-1.0
Water,Grass,Rock,0.0,4.0,4.0
Water,Grass,Ghost,9.5,4.0,13.5
Water,Grass,Dragon,1.75,4.0,5.75
Water,Ice,Fighting,-2.5,10.0,7.5
Water,Ice,Poison,-2.5,10.0,7.5
Water,Ice,Ground,1.0,10.0,11.0
Water,Ice,Flying,0.0,10.0,10.0
Water,Ice,Psychic,3.5,10.0,13.5
Water,Ice,Bug,-5.5,10.0,4.5
Water,Ice,Rock,-4.5,10.0,5.5
Water,Ice,Ghost,9.5,10.0,19.5
Water,Ice,Dragon,1.5,10.0,11.5
Water,Fighting,Poison,1.0,10.0,11.0
Water,Fighting,Ground,4.5,10.0,14.5
Water,Fighting,Flying,4.5,10.0,14.5
Water,Fighting,Psychic,8.0,10.0,18.0
Water,Fighting,Bug,-1.0,10.0,9.0
Water,Fighting,Rock,0.5,10.0,10.5
Water,Fighting,Ghost,11.5,10.0,21.5
Water,Fighting,Dragon,5.0,10.0,15.0
Water,Poison,Ground,5.5,10.0,15.5
Water,Poison,Flying,6.5,10.0,16.5
Water,Poison,Psychic,6.5,10.0,16.5
Water,Poison,Bug,-0.5,10.0,9.5
Water,Poison,Rock,0.0,10.0,10.0
Water,Poison,Ghost,9.5,10.0,19.5
Water,Poison,Dragon,5.0,10.0,15.0
Water,Ground,Flying,12.0,8.0,20.0
Water,Ground,Psychic,11.0,8.0,19.0
Water,Ground,Bug,4.0,8.0,12.0
Water,Ground,Rock,11.0,8.0,19.0
Water,Ground,Ghost,14.5,8.0,22.5
Water,Ground,Dragon,7.5,8.0,15.5
Water,Flying,Psychic,10.5,12.0,22.5
Water,Flying,Bug,-0.5,12.0,11.5
Water,Flying,Rock,6.5,12.0,18.5
Water,Flying,Ghost,12.5,12.0,24.5
Water,Flying,Dragon,9.0,12.0,21.0
Water,Psychic,Bug,5.5,10.0,15.5
Water,Psychic,Rock,6.5,10.0,16.5
Water,Psychic,Ghost,18.0,10.0,28.0
Water,Psychic,Dragon,11.0,10.0,21.0
Water,Bug,Rock,0.0,12.0,12.0
Water,Bug,Ghost,8.0,12.0,20.0
Water,Bug,Dragon,3.5,12.0,15.5
Water,Rock,Ghost,10.0,12.0,22.0
Water,Rock,Dragon,3.75,12.0,15.75
Water,Ghost,Dragon,15.0,8.0,23.0
Electric,Grass,Ice,-5.5,4.0,-1.5
Electric,Grass,Fighting,-0.5,4.0,3.5
Electric,Grass,Poison,-2.0,4.0,2.0
Electric,Grass,Ground,-3.0,4.0,1.0
Electric,Grass,Flying,2.5,4.0,6.5
Electric,Grass,Psychic,4.5,4.0,8.5
Electric,Grass,Bug,-5.0,4.0,-1.0
Electric,Grass,Rock,-0.5,4.0,3.5
Electric,Grass,Ghost,9.5,4.0,13.5
Electric,Grass,Dragon,-0.25,4.0,3.75
Electric,Ice,Fighting,-2.0,10.0,8.0
Electric,Ice,Poison,-3.0,10.0,7.0
Electric,Ice,Ground,-2.0,10.0,8.0
Electric,Ice,Flying,3.0,10.0,13.0
Electric,Ice,Psychic,4.0,10.0,14.0
Electric,Ice,Bug,-6.0,10.0,4.0
Electric,Ice,Rock,-4.5,10.0,5.5
Electric,Ice,Ghost,10.0,10.0,20.0
Electric,Ice,Dragon,1.5,10.0,11.5
Electric,Fighting,Poison,0.0,10.0,10.0
Electric,Fighting,Ground,1.5,10.0,11.5
Electric,Fighting,Flying,7.5,10.0,17.5
Electric,Fighting,Psychic,8.0,10.0,18.0
Electric,Fighting,Bug,0.0,10.0,10.0
Electric,Fighting,Rock,1.0,10.0,11.0
Electric,Fighting,Ghost,11.5,10.0,21.5
Electric,Fighting,Dragon,5.5,10.0,15.5
Electric,Poison,Ground,0.5,6.0,6.5
Electric,Poison,Flying,9.0,6.0,15.0
Electric,Poison,Psychic,5.5,6.0,11.5
Electric,Poison,Bug,-1.0,6.0,5.0
Electric,Poison,Rock,7.0,6.0,13.0
Electric,Poison,Ghost,8.5,6.0,14.5
Electric,Poison,Dragon,4.0,6.0,10.0
Electric,Ground,Flying,9.0,10.0,19.0
Electric,Ground,Psychic,8.0,10.0,18.0
Electric,Ground,Bug,0.0,10.0,10.0
Electric,Ground,Rock,-2.0,10.0,8.0
Electric,Ground,Ghost,11.5,10.0,21.5
Electric,Ground,Dragon,3.0,10.0,13.0
Electric,Flying,Psychic,13.5,8.0,21.5
Electric,Flying,Bug,2.0,8.0,10.0
Electric,Flying,Rock,9.5,8.0,17.5
Electric,Flying,Ghost,15.5,8.0,23.5
Electric,Flying,Dragon,10.5,8.0,18.5
Electric,Psychic,Bug,5.5,8.0,13.5
Electric,Psychic,Rock,6.5,8.0,14.5
Electric,Psychic,Ghost,18.0,8.0,26.0
Electric,Psychic,Dragon,11.5,8.0,19.5
Electric,Bug,Rock,0.0,10.0,10.0
Electric,Bug,Ghost,8.0,10.0,18.0
Electric,Bug,Dragon,3.0,10.0,13.0
Electric,Rock,Ghost,10.0,8.0,18.0
Electric,Rock,Dragon,3.5,8.0,11.5
Electric,Ghost,Dragon,15.5,6.0,21.5
Grass,Ice,Fighting,-8.0,12.0,4.0
Grass,Ice,Poison,-8.5,12.0,3.5
Grass,Ice,Ground,-7.0,12.0,5.0
Grass,Ice,Flying,-6.5,12.0,5.5
Grass,Ice,Psychic,-2.0,12.0,10.0
Grass,Ice,Bug,-6.0,12.0,6.0
Grass,Ice,Rock,-7.0,12.0,5.0
Grass,Ice,Ghost,5.0,12.0,17.0
Grass,Ice,Dragon,-3.5,12.0,8.5
Grass,Fighting,Poison,-4.5,4.0,-0.5
Grass,Fighting,Ground,-4.5,4.0,-0.5
Grass,Fighting,Flying,-2.5,4.0,1.5
Grass,Fighting,Psychic,3.0,4.0,7.0
Grass,Fighting,Bug,-1.0,4.0,3.0
Grass,Fighting,Rock,-2.0,4.0,2.0
Grass,Fighting,Ghost,7.0,4.0,11.0
Grass,Fighting,Dragon,-1.5,4.0,2.5
Grass,Poison,Ground,-4.0,8.0,4.0
Grass,Poison,Flying,-1.75,8.0,6.25
Grass,Poison,Psychic,9.0,8.0,17.0
Grass,Poison,Bug,-9.75,8.0,-1.75
Grass,Poison,Rock,-3.0,8.0,5.0
Grass,Poison,Ghost,5.5,8.0,13.5
Grass,Poison,Dragon,-3.25,8.0,4.75
Grass,Ground,Flying,8.0,6.0,14.0
Grass,Ground,Psychic,2.0,6.0,8.0
Grass,Ground,Bug,-7.5,6.0,-1.5
Grass,Ground,Rock,-3.0,6.0,3.0
Grass,Ground,Ghost,7.0,6.0,13.0
Grass,Ground,Dragon,6.0,6.0,12.0
Grass,Flying,Psychic,4.0,12.0,16.0
Grass,Flying,Bug,-11.75,12.0,0.25
Grass,Flying,Rock,1.0,12.0,13.0
Grass,Flying,Ghost,6.5,12.0,18.5
Grass,Flying,Dragon,7.25,12.0,19.25
Grass,Psychic,Bug,-3.5,10.0,6.5
Grass,Psychic,Rock,3.0,10.0,13.0
Grass,Psychic,Ghost,14.0,10.0,24.0
Grass,Psychic,Dragon,4.5,10.0,14.5
Grass,Bug,Rock,-4.0,8.0,4.0
Grass,Bug,Ghost,1.0,8.0,9.0
Grass,Bug,Dragon,-6.75,8.0,1.25
Grass,Rock,Ghost,8.0,14.0,22.0
Grass,Rock,Dragon,0.5,14.0,14.5
Grass,Ghost,Dragon,9.5,8.0,17.5
Ice,Fighting,Poison,-5.0,14.0,9.0
Ice,Fighting,Ground,-2.0,14.0,12.0
Ice,Fighting,Flying,-0.5,14.0,13.5
Ice,Fighting,Psychic,2.0,14.0,16.0
Ice,Fighting,Bug,-8.0,14.0,6.0
Ice,Fighting,Rock,-5.0,14.0,9.0
Ice,Fighting,Ghost,7.5,14.0,21.5
Ice,Fighting,Dragon,0.0,14.0,14.0
Ice,Poison,Ground,-2.5,10.0,7.5
Ice,Poison,Flying,0.5,10.0,10.5
Ice,Poison,Psychic,1.0,10.0,11.0
Ice,Poison,Bug,-8.5,10.0,1.5
Ice,Poison,Rock,-5.5,10.0,4.5
Ice,Poison,Ghost,5.5,10.0,15.5
Ice,Poison,Dragon,-0.5,10.0,9.5
Ice,Ground,Flying,4.0,16.0,20.0
Ice,Ground,Psychic,4.0,16.0,20.0
Ice,Ground,Bug,-5.0,16.0,11.0
Ice,Ground,Rock,-5.5,16.0,10.5
Ice,Ground,Ghost,9.5,16.0,25.5
Ice,Ground,Dragon,0.0,16.0,16.0
Ice,Flying,Psychic,5.0,12.0,17.0
Ice,Flying,Bug,0.5,12.0,12.5
Ice,Flying,Rock,1.0,12.0,13.0
Ice,Flying,Ghost,8.5,12.0,20.5
Ice,Flying,Dragon,2.5,12.0,14.5
Ice,Psychic,Bug,-2.0,12.0,10.0
Ice,Psychic,Rock,2.0,12.0,14.0
Ice,Psychic,Ghost,14.0,12.0,26.0
Ice,Psychic,Dragon,6.0,12.0,18.0
Ice,Bug,Rock,-7.0,12.0,5.0
Ice,Bug,Ghost,2.0,12.0,14.0
Ice,Bug,Dragon,-3.5,12.0,8.5
Ice,Rock,Ghost,7.5,14.0,21.5
Ice,Rock,Dragon,-1.0,14.0,13.0
Ice,Ghost,Dragon,12.0,10.0,22.0
Fighting,Poison,Ground,0.0,6.0,6.0
Fighting,Poison,Flying,4.0,6.0,10.0
Fighting,Poison,Psychic,5.5,6.0,11.5
Fighting,Poison,Bug,-5.0,6.0,1.0
Fighting,Poison,Rock,-2.5,6.0,3.5
Fighting,Poison,Ghost,6.5,6.0,12.5
Fighting,Poison,Dragon,2.5,6.0,8.5
Fighting,Ground,Flying,6.5,8.0,14.5
Fighting,Ground,Psychic,7.5,8.0,15.5
Fighting,Ground,Bug,-1.0,8.0,7.0
Fighting,Ground,Rock,-1.0,8.0,7.0
Fighting,Ground,Ghost,10.5,8.0,18.5
Fighting,Ground,Dragon,2.5,8.0,10.5
Fighting,Flying,Psychic,9.5,12.0,21.5
Fighting,Flying,Bug,-2.5,12.0,9.5
Fighting,Flying,Rock,5.5,12.0,17.5
Fighting,Flying,Ghost,9.75,12.0,21.75
Fighting,Flying,Dragon,6.0,12.0,18.0
Fighting,Psychic,Bug,2.5,8.0,10.5
Fighting,Psychic,Rock,6.0,8.0,14.0
Fighting,Psychic,Ghost,16.0,8.0,24.0
Fighting,Psychic,Dragon,10.0,8.0,18.0
Fighting,Bug,Rock,-2.0,8.0,6.0
Fighting,Bug,Ghost,4.5,8.0,12.5
Fighting,Bug,Dragon,0.5,8.0,8.5
Fighting,Rock,Ghost,9.0,12.0,21.0
Fighting,Rock,Dragon,3.5,12.0,15.5
Fighting,Ghost,Dragon,13.5,6.0,19.5
Poison,Ground,Flying,8.0,12.0,20.0
Poison,Ground,Psychic,6.0,12.0,18.0
Poison,Ground,Bug,-0.5,12.0,11.5
Poison,Ground,Rock,-2.25,12.0,9.75
Poison,Ground,Ghost,7.75,12.0,19.75
Poison,Ground,Dragon,2.5,12.0,14.5
Poison,Flying,Psychic,9.25,4.0,13.25
Poison,Flying,Bug,-3.5,4.0,0.5
Poison,Flying,Rock,7.5,4.0,11.5
Poison,Flying,Ghost,11.0,4.0,15.0
Poison,Flying,Dragon,6.25,4.0,10.25
Poison,Psychic,Bug,0.25,8.0,8.25
Poison,Psychic,Rock,3.5,8.0,11.5
Poison,Psychic,Ghost,13.5,8.0,21.5
Poison,Psychic,Dragon,8.0,8.0,16.0
Poison,Bug,Rock,-2.0,6.0,4.0
Poison,Bug,Ghost,3.5,6.0,9.5
Poison,Bug,Dragon,-0.75,6.0,5.25
Poison,Rock,Ghost,4.75,8.0,12.75
Poison,Rock,Dragon,2.0,8.0,10.0
Poison,Ghost,Dragon,11.0,6.0,17.0
Ground,Flying,Psychic,12.5,14.0,26.5
Ground,Flying,Bug,2.5,14.0,16.5
Ground,Flying,Rock,7.5,14.0,21.5
Ground,Flying,Ghost,14.0,14.0,28.0
Ground,Flying,Dragon,16.0,14.0,30.0
Ground,Psychic,Bug,5.5,10.0,15.5
Ground,Psychic,Rock,5.5,10.0,15.5
Ground,Psychic,Ghost,17.5,10.0,27.5
Ground,Psychic,Dragon,9.0,10.0,19.0
Ground,Bug,Rock,-1.0,10.0,9.0
Ground,Bug,Ghost,8.0,10.0,18.0
Ground,Bug,Dragon,1.0,10.0,11.0
Ground,Rock,Ghost,7.75,14.0,21.75
Ground,Rock,Dragon,2.0,14.0,16.0
Ground,Ghost,Dragon,12.5,10.0,22.5
Flying,Psychic,Bug,2.25,8.0,10.25
Flying,Psychic,Rock,12.0,8.0,20.0
Flying,Psychic,Ghost,18.0,8.0,26.0
Flying,Psychic,Dragon,12.0,8.0,20.0
Flying,Bug,Rock,1.0,10.0,11.0
Flying,Bug,Ghost,4.0,10.0,14.0
Flying,Bug,Dragon,-0.75,10.0,9.25
Flying,Rock,Ghost,13.0,12.0,25.0
Flying,Rock,Dragon,8.5,12.0,20.5
Flying,Ghost,Dragon,14.0,8.0,22.0
Psychic,Bug,Rock,4.0,8.0,12.0
Psychic,Bug,Ghost,12.0,8.0,20.0
Psychic,Bug,Dragon,7.0,8.0,15.0
Psychic,Rock,Ghost,15.5,12.0,27.5
Psychic,Rock,Dragon,9.5,12.0,21.5
Psychic,Ghost,Dragon,20.0,4.0,24.0
Bug,Rock,Ghost,6.0,12.0,18.0
Bug,Rock,Dragon,2.0,12.0,14.0
Bug,Ghost,Dragon,9.5,8.0,17.5
Rock,Ghost,Dragon,13.0,10.0,23.0
