First Type,Second Type,Third Type,Defensive Score,Offensive Score,Total Score
Normal,Poison,Ghost,17.0,-2.0,15.0
Normal,Poison,Dragon,9.5,-2.0,7.5
Normal,Poison,Dark,10.0,-2.0,8.0
Normal,Poison,Steel,21.5,-2.0,19.5
Normal,Poison,Fairy,13.5,-2.0,11.5
Normal,Ground,Flying,9.0,10.0,19.0
Normal,Ground,Psychic,4.0,10.0,14.0
Normal,Ground,Bug,4.0,10.0,14.0
Normal,Ground,Rock,-1.5,10.0,8.5
Normal,Ground,Ghost,15.5,10.0,25.5
Normal,Ground,Dragon,3.0,10.0,13.0
Normal,Ground,Dark,3.0,10.0,13.0
Normal,Ground,Steel,18.5,10.0,28.5
Normal,Ground,Fairy,10.0,10.0,20.0
Normal,Flying,Psychic,6.0,2.0,8.0
Normal,Flying,Bug,2.5,2.0,4.5
Normal,Flying,Rock,6.0,2.0,8.0
Normal,Flying,Ghost,15.5,2.0,17.5
Normal,Flying,Dragon,6.5,2.0,8.5
Normal,Flying,Dark,6.0,2.0,8.0
Normal,Flying,Steel,25.0,2.0,27.0
Normal,Flying,Fairy,11.5,2.0,13.5
Normal,Psychic,Bug,2.0,2.0,4.0
Normal,Psychic,Rock,0.0,2.0,2.0
Normal,Psychic,Ghost,11.0,2.0,13.0
Normal,Psychic,Dragon,4.0,2.0,6.0
Normal,Psychic,Dark,-1.0,2.0,1.0
Normal,Psychic,Steel,19.5,2.0,21.5
Normal,Psychic,Fairy,8.0,2.0,10.0
Normal,Bug,Rock,0.0,2.0,2.0
Normal,Bug,Ghost,12.0,2.0,14.0
Normal,Bug,Dragon,3.5,2.0,5.5
Normal,Bug,Dark,2.0,2.0,4.0
Normal,Bug,Steel,18.5,2.0,20.5
Normal,Bug,Fairy,8.0,2.0,10.0
Normal,Rock,Ghost,11.5,6.0,17.5
Normal,Rock,Dragon,0.5,6.0,6.5
Normal,Rock,Dark,6.0,6.0,12.0
Normal,Rock,Steel,20.0,6.0,26.0
Normal,Rock,Fairy,5.0,6.0,11.0
Normal,Ghost,Dragon,16.0,4.0,20.0
Normal,Ghost,Dark,16.0,4.0,20.0
Normal,Ghost,Steel,29.5,4.0,33.5
Normal,Ghost,Fairy,17.5,4.0,21.5
Normal,Dragon,Dark,2.0,0.0,2.0
Normal,Dragon,Steel,20.5,0.0,20.5
Normal,Dragon,Fairy,12.0,0.0,12.0
Normal,Dark,Steel,24.0,4.0,28.0
Normal,Dark,Fairy,7.5,4.0,11.5
Normal,Steel,Fairy,25.5,4.0,29.5
Fire,Water,Electric,9.75,10.0,19.75
Fire,Water,Grass,7.5,10.0,17.5
Fire,Water,Ice,0.75,10.0,10.75
Fire,Water,Fighting,8.0,10.0,18.0
Fire,Water,Poison,12.5,10.0,22.5
Fire,Water,Ground,13.0,10.0,23.0
Fire,Water,Flying,12.5,10.0,22.5
Fire,Water,Psychic,6.5,10.0,16.5
Fire,Water,Bug,8.0,10.0,18.0
Fire,Water,Rock,4.25,10.0,14.25
Fire,Water,Ghost,16.0,10.0,26.0
Fire,Water,Dragon,9.25,10.0,19.25
Fire,Water,Dark,10.5,10.0,20.5
Fire,Water,Steel,21.5,10.0,31.5
Fire,Water,Fairy,14.5,10.0,24.5
Fire,Electric,Grass,6.5,10.0,16.5
Fire,Electric,Ice,1.5,10.0,11.5
Fire,Electric,Fighting,8.0,10.0,18.0
Fire,Electric,Poison,20.0,10.0,30.0
Fire,Electric,Ground,7.5,10.0,17.5
Fire,Electric,Flying,15.5,10.0,25.5
Fire,Electric,Psychic,6.5,10.0,16.5
Fire,Electric,Bug,8.0,10.0,18.0
Fire,Electric,Rock,12.0,10.0,22.0
Fire,Electric,Ghost,16.0,10.0,26.0
Fire,Electric,Dragon,9.0,10.0,19.0
Fire,Electric,Dark,10.5,10.0,20.5
Fire,Electric,Steel,29.25,10.0,39.25
Fire,Electric,Fairy,14.5,10.0,24.5
Fire,Grass,Ice,-3.5,10.0,6.5
Fire,Grass,Fighting,2.5,10.0,12.5
Fire,Grass,Poison,7.25,10.0,17.25
Fire,Grass,Ground,4.0,10.0,14.0
Fire,Grass,Flying,4.75,10.0,14.75
Fire,Grass,Psychic,1.5,10.0,11.5
Fire,Grass,Bug,-0.25,10.0,9.75
Fire,Grass,Rock,2.0,10.0,12.0
Fire,Grass,Ghost,11.5,10.0,21.5
Fire,Grass,Dragon,3.25,10.0,13.25
Fire,Grass,Dark,5.5,10.0,15.5
Fire,Grass,Steel,20.75,10.0,30.75
Fire,Grass,Fairy,8.5,10.0,18.5
Fire,Ice,Fighting,-1.0,10.0,9.0
Fire,Ice,Poison,2.0,10.0,12.0
Fire,Ice,Ground,1.0,10.0,11.0
Fire,Ice,Flying,11.0,10.0,21.0
Fire,Ice,Psychic,-3.5,10.0,6.5
Fire,Ice,Bug,5.0,10.0,15.0
Fire,Ice,Rock,-6.5,10.0,3.5
Fire,Ice,Ghost,8.0,10.0,18.0
Fire,Ice,Dragon,0.5,10.0,10.5
Fire,Ice,Dark,-0.5,10.0,9.5
Fire,Ice,Steel,12.25,10.0,22.25
Fire,Ice,Fairy,4.0,10.0,14.0
Fire,Fighting,Poison,7.25,14.0,21.25
Fire,Fighting,Ground,6.5,14.0,20.5
Fire,Fighting,Flying,9.25,14.0,23.25
Fire,Fighting,Psychic,4.0,14.0,18.0
Fire,Fighting,Bug,4.0,14.0,18.0
Fire,Fighting,Rock,1.0,14.0,15.0
Fire,Fighting,Ghost,11.75,14.0,25.75
Fire,Fighting,Dragon,6.5,14.0,20.5
Fire,Fighting,Dark,9.5,14.0,23.5
Fire,Fighting,Steel,19.25,14.0,33.25
Fire,Fighting,Fairy,9.25,14.0,23.25
Fire,Poison,Ground,10.5,8.0,18.5
Fire,Poison,Flying,13.5,8.0,21.5
Fire,Poison,Psychic,7.5,8.0,15.5
Fire,Poison,Bug,7.25,8.0,15.25
Fire,Poison,Rock,13.0,8.0,21.0
Fire,Poison,Ghost,13.25,8.0,21.25
Fire,Poison,Dragon,9.75,8.0,17.75
Fire,Poison,Dark,14.5,8.0,22.5
Fire,Poison,Steel,26.25,8.0,34.25
Fire,Poison,Fairy,13.25,8.0,21.25
Fire,Ground,Flying,14.5,16.0,30.5
Fire,Ground,Psychic,5.0,16.0,21.0
Fire,Ground,Bug,7.0,16.0,23.0
Fire,Ground,Rock,10.0,16.0,26.0
Fire,Ground,Ghost,14.0,16.0,30.0
Fire,Ground,Dragon,7.5,16.0,23.5
Fire,Ground,Dark,9.0,16.0,25.0
Fire,Ground,Steel,20.5,16.0,36.5
Fire,Ground,Fairy,12.5,16.0,28.5
Fire,Flying,Psychic,8.0,8.0,16.0
Fire,Flying,Bug,12.75,8.0,20.75
Fire,Flying,Rock,9.0,8.0,17.0
Fire,Flying,Ghost,14.25,8.0,22.25
Fire,Flying,Dragon,9.75,8.0,17.75
Fire,Flying,Dark,12.5,8.0,20.5
Fire,Flying,Steel,26.5,8.0,34.5
Fire,Flying,Fairy,13.75,8.0,21.75
Fire,Psychic,Bug,2.0,12.0,14.0
Fire,Psychic,Rock,-0.5,12.0,11.5
Fire,Psychic,Ghost,8.0,12.0,20.0
Fire,Psychic,Dragon,5.0,12.0,17.0
Fire,Psychic,Dark,4.0,12.0,16.0
Fire,Psychic,Steel,18.5,12.0,30.5
Fire,Psychic,Fairy,9.5,12.0,21.5
Fire,Bug,Rock,2.0,10.0,12.0
Fire,Bug,Ghost,10.0,10.0,20.0
Fire,Bug,Dragon,4.75,10.0,14.75
Fire,Bug,Dark,6.5,10.0,16.5
Fire,Bug,Steel,19.75,10.0,29.75
Fire,Bug,Fairy,9.5,10.0,19.5
Fire,Rock,Ghost,8.5,12.0,20.5
Fire,Rock,Dragon,2.75,12.0,14.75
Fire,Rock,Dark,2.5,12.0,14.5
Fire,Rock,Steel,21.5,12.0,33.5
Fire,Rock,Fairy,7.0,12.0,19.0
Fire,Ghost,Dragon,14.5,12.0,26.5
Fire,Ghost,Dark,18.0,12.0,30.0
Fire,Ghost,Steel,24.75,12.0,36.75
Fire,Ghost,Fairy,15.75,12.0,27.75
Fire,Dragon,Dark,9.0,10.0,19.0
Fire,Dragon,Steel,21.75,10.0,31.75
Fire,Dragon,Fairy,14.5,10.0,24.5
Fire,Dark,Steel,20.5,12.0,32.5
Fire,Dark,Fairy,13.5,12.0,25.5
Fire,Steel,Fairy,25.25,8.0,33.25
Water,Electric,Grass,5.0,6.0,11.0
Water,Electric,Ice,1.5,6.0,7.5
Water,Electric,Fighting,7.5,6.0,13.5
Water,Electric,Poison,12.5,6.0,18.5
Water,Electric,Ground,8.5,6.0,14.5
Water,Electric,Flying,13.5,6.0,19.5
Water,Electric,Psychic,5.5,6.0,11.5
Water,Electric,Bug,7.5,6.0,13.5
Water,Electric,Rock,3.0,6.0,9.0
Water,Electric,Ghost,15.5,6.0,21.5
Water,Electric,Dragon,8.5,6.0,14.5
Water,Electric,Dark,9.5,6.0,15.5
Water,Electric,Steel,21.75,6.0,27.75
Water,Electric,Fairy,14.0,6.0,20.0
Water,Grass,Ice,-4.5,4.0,-0.5
Water,Grass,Fighting,0.5,4.0,4.5
Water,Grass,Poison,7.5,4.0,11.5
Water,Grass,Ground,4.0,4.0,8.0
Water,Grass,Flying,3.5,4.0,7.5
Water,Grass,Psychic,-1.5,4.0,2.5
Water,Grass,Bug,0.0,4.0,4.0
Water,Grass,Rock,0.0,4.0,4.0
Water,Grass,Ghost,9.5,4.0,13.5
Water,Grass,Dragon,1.75,4.0,5.75
Water,Grass,Dark,2.5,4.0,6.5
Water,Grass,Steel,21.0,4.0,25.0
Water,Grass,Fairy,6.5,4.0,10.5
Water,Ice,Fighting,-2.5,10.0,7.5
Water,Ice,Poison,3.5,10.0,13.5
Water,Ice,Ground,1.0,10.0,11.0
Water,Ice,Flying,0.0,10.0,10.0
Water,Ice,Psychic,-4.5,10.0,5.5
Water,Ice,Bug,-3.5,10.0,6.5
Water,Ice,Rock,-6.5,10.0,3.5
Water,Ice,Ghost,7.5,10.0,17.5
Water,Ice,Dragon,-0.5,10.0,9.5
Water,Ice,Dark,-1.5,10.0,8.5
Water,Ice,Steel,12.75,10.0,22.75
Water,Ice,Fairy,3.5,10.0,13.5
Water,Fighting,Poison,8.5,14.0,22.5
Water,Fighting,Ground,6.5,14.0,20.5
Water,Fighting,Flying,6.5,14.0,20.5
Water,Fighting,Psychic,2.0,14.0,16.0
Water,Fighting,Bug,3.0,14.0,17.0
Water,Fighting,Rock,0.5,14.0,14.5
Water,Fighting,Ghost,11.5,14.0,25.5
Water,Fighting,Dragon,4.0,14.0,18.0
Water,Fighting,Dark,6.5,14.0,20.5
Water,Fighting,Steel,20.0,14.0,34.0
Water,Fighting,Fairy,9.0,14.0,23.0
Water,Poison,Ground,13.5,10.0,23.5
Water,Poison,Flying,14.0,10.0,24.0
Water,Poison,Psychic,7.5,10.0,17.5
Water,Poison,Bug,9.5,10.0,19.5
Water,Poison,Rock,6.0,10.0,16.0
Water,Poison,Ghost,15.0,10.0,25.0
Water,Poison,Dragon,11.0,10.0,21.0
Water,Poison,Dark,14.0,10.0,24.0
Water,Poison,Steel,23.0,10.0,33.0
Water,Poison,Fairy,15.0,10.0,25.0
Water,Ground,Flying,14.0,10.0,24.0
Water,Ground,Psychic,5.0,10.0,15.0
Water,Ground,Bug,8.0,10.0,18.0
Water,Ground,Rock,11.0,10.0,21.0
Water,Ground,Ghost,14.5,10.0,24.5
Water,Ground,Dragon,7.5,10.0,17.5
Water,Ground,Dark,9.0,10.0,19.0
Water,Ground,Steel,23.0,10.0,33.0
Water,Ground,Fairy,13.0,10.0,23.0
Water,Flying,Psychic,4.5,12.0,16.5
Water,Flying,Bug,3.5,12.0,15.5
Water,Flying,Rock,6.5,12.0,18.5
Water,Flying,Ghost,12.5,12.0,24.5
Water,Flying,Dragon,9.0,12.0,21.0
Water,Flying,Dark,9.0,12.0,21.0
Water,Flying,Steel,26.0,12.0,38.0
Water,Flying,Fairy,12.0,12.0,24.0
Water,Psychic,Bug,1.5,10.0,11.5
Water,Psychic,Rock,-1.5,10.0,8.5
Water,Psychic,Ghost,6.0,10.0,16.0
Water,Psychic,Dragon,3.0,10.0,13.0
Water,Psychic,Dark,1.0,10.0,11.0
Water,Psychic,Steel,18.5,10.0,28.5
Water,Psychic,Fairy,7.5,10.0,17.5
Water,Bug,Rock,2.0,12.0,14.0
Water,Bug,Ghost,10.0,12.0,22.0
Water,Bug,Dragon,5.5,12.0,17.5
Water,Bug,Dark,6.0,12.0,18.0
Water,Bug,Steel,21.0,12.0,33.0
Water,Bug,Fairy,9.5,12.0,21.5
Water,Rock,Ghost,8.0,12.0,20.0
Water,Rock,Dragon,1.75,12.0,13.75
Water,Rock,Dark,1.5,12.0,13.5
Water,Rock,Steel,14.5,12.0,26.5
Water,Rock,Fairy,6.5,12.0,18.5
Water,Ghost,Dragon,13.0,10.0,23.0
Water,Ghost,Dark,16.0,10.0,26.0
Water,Ghost,Steel,26.5,10.0,36.5
Water,Ghost,Fairy,15.5,10.0,25.5
Water,Dragon,Dark,6.0,8.0,14.0
Water,Dragon,Steel,23.0,8.0,31.0
Water,Dragon,Fairy,13.0,8.0,21.0
Water,Dark,Steel,20.0,10.0,30.0
Water,Dark,Fairy,11.5,10.0,21.5
Water,Steel,Fairy,27.0,8.0,35.0
Electric,Grass,Ice,-5.5,4.0,-1.5
Electric,Grass,Fighting,1.5,4.0,5.5
Electric,Grass,Poison,7.0,4.0,11.0
Electric,Grass,Ground,-1.0,4.0,3.0
Electric,Grass,Flying,4.5,4.0,8.5
Electric,Grass,Psychic,-1.5,4.0,2.5
Electric,Grass,Bug,0.0,4.0,4.0
Electric,Grass,Rock,-0.5,4.0,3.5
Electric,Grass,Ghost,9.5,4.0,13.5
Electric,Grass,Dragon,-0.25,4.0,3.75
Electric,Grass,Dark,2.5,4.0,6.5
Electric,Grass,Steel,19.5,4.0,23.5
Electric,Grass,Fairy,6.5,4.0,10.5
Electric,Ice,Fighting,-2.0,10.0,8.0
Electric,Ice,Poison,3.0,10.0,13.0
Electric,Ice,Ground,-2.0,10.0,8.0
Electric,Ice,Flying,3.0,10.0,13.0
Electric,Ice,Psychic,-4.0,10.0,6.0
Electric,Ice,Bug,-4.0,10.0,6.0
Electric,Ice,Rock,-6.5,10.0,3.5
Electric,Ice,Ghost,8.0,10.0,18.0
Electric,Ice,Dragon,-0.5,10.0,9.5
Electric,Ice,Dark,-1.0,10.0,9.0
Electric,Ice,Steel,12.0,10.0,22.0
Electric,Ice,Fairy,4.0,10.0,14.0
Electric,Fighting,Poison,7.5,14.0,21.5
Electric,Fighting,Ground,3.5,14.0,17.5
Electric,Fighting,Flying,9.5,14.0,23.5
Electric,Fighting,Psychic,2.0,14.0,16.0
Electric,Fighting,Bug,4.0,14.0,18.0
Electric,Fighting,Rock,1.0,14.0,15.0
Electric,Fighting,Ghost,11.5,14.0,25.5
Electric,Fighting,Dragon,4.5,14.0,18.5
Electric,Fighting,Dark,6.5,14.0,20.5
Electric,Fighting,Steel,19.5,14.0,33.5
Electric,Fighting,Fairy,9.0,14.0,23.0
Electric,Poison,Ground,8.5,6.0,14.5
Electric,Poison,Flying,16.5,6.0,22.5
Electric,Poison,Psychic,6.5,6.0,12.5
Electric,Poison,Bug,9.0,6.0,15.0
Electric,Poison,Rock,13.0,6.0,19.0
Electric,Poison,Ghost,14.0,6.0,20.0
Electric,Poison,Dragon,10.0,6.0,16.0
Electric,Poison,Dark,13.0,6.0,19.0
Electric,Poison,Steel,29.5,6.0,35.5
Electric,Poison,Fairy,14.0,6.0,20.0
Electric,Ground,Flying,11.0,12.0,23.0
Electric,Ground,Psychic,2.0,12.0,14.0
Electric,Ground,Bug,4.0,12.0,16.0
Electric,Ground,Rock,-2.0,12.0,10.0
Electric,Ground,Ghost,11.5,12.0,23.5
Electric,Ground,Dragon,3.0,12.0,15.0
Electric,Ground,Dark,6.0,12.0,18.0
Electric,Ground,Steel,17.5,12.0,29.5
Electric,Ground,Fairy,10.0,12.0,22.0
Electric,Flying,Psychic,7.5,8.0,15.5
Electric,Flying,Bug,6.0,8.0,14.0
Electric,Flying,Rock,9.5,8.0,17.5
Electric,Flying,Ghost,15.5,8.0,23.5
Electric,Flying,Dragon,10.5,8.0,18.5
Electric,Flying,Dark,12.0,8.0,20.0
Electric,Flying,Steel,28.0,8.0,36.0
Electric,Flying,Fairy,15.0,8.0,23.0
Electric,Psychic,Bug,1.5,8.0,9.5
Electric,Psychic,Rock,-1.5,8.0,6.5
Electric,Psychic,Ghost,6.0,8.0,14.0
Electric,Psychic,Dragon,3.5,8.0,11.5
Electric,Psychic,Dark,1.0,8.0,9.0
Electric,Psychic,Steel,17.5,8.0,25.5
Electric,Psychic,Fairy,7.5,8.0,15.5
Electric,Bug,Rock,2.0,10.0,12.0
Electric,Bug,Ghost,10.0,10.0,20.0
Electric,Bug,Dragon,5.0,10.0,15.0
Electric,Bug,Dark,6.0,10.0,16.0
Electric,Bug,Steel,20.0,10.0,30.0
Electric,Bug,Fairy,9.5,10.0,19.5
Electric,Rock,Ghost,8.0,8.0,16.0
Electric,Rock,Dragon,1.5,8.0,9.5
Electric,Rock,Dark,1.5,8.0,9.5
Electric,Rock,Steel,20.25,8.0,28.25
Electric,Rock,Fairy,6.5,8.0,14.5
Electric,Ghost,Dragon,13.5,8.0,21.5
Electric,Ghost,Dark,16.0,8.0,24.0
Electric,Ghost,Steel,25.5,8.0,33.5
Electric,Ghost,Fairy,15.5,8.0,23.5
Electric,Dragon,Dark,6.5,6.0,12.5
Electric,Dragon,Steel,21.0,6.0,27.0
Electric,Dragon,Fairy,13.5,6.0,19.5
Electric,Dark,Steel,19.0,8.0,27.0
Electric,Dark,Fairy,11.5,8.0,19.5
Electric,Steel,Fairy,26.0,8.0,34.0
Grass,Ice,Fighting,-10.0,8.0,-2.0
Grass,Ice,Poison,-3.5,8.0,4.5
Grass,Ice,Ground,-9.0,8.0,-1.0
Grass,Ice,Flying,-8.5,8.0,-0.5
Grass,Ice,Psychic,-12.0,8.0,-4.0
Grass,Ice,Bug,-5.0,8.0,3.0
Grass,Ice,Rock,-12.0,8.0,-4.0
Grass,Ice,Ghost,1.0,8.0,9.0
Grass,Ice,Dragon,-7.5,8.0,0.5
Grass,Ice,Dark,-9.0,8.0,-1.0
Grass,Ice,Steel,16.5,8.0,24.5
Grass,Ice,Fairy,-5.0,8.0,3.0
Grass,Fighting,Poison,1.5,8.0,9.5
Grass,Fighting,Ground,-4.5,8.0,3.5
Grass,Fighting,Flying,-2.5,8.0,5.5
Grass,Fighting,Psychic,-5.0,8.0,3.0
Grass,Fighting,Bug,2.0,8.0,10.0
Grass,Fighting,Rock,-4.0,8.0,4.0
Grass,Fighting,Ghost,5.0,8.0,13.0
Grass,Fighting,Dragon,-4.5,8.0,3.5
Grass,Fighting,Dark,-0.5,8.0,7.5
Grass,Fighting,Steel,16.0,8.0,24.0
Grass,Fighting,Fairy,1.5,8.0,9.5
Grass,Poison,Ground,3.0,6.0,9.0
Grass,Poison,Flying,4.25,6.0,10.25
Grass,Poison,Psychic,1.0,6.0,7.0
Grass,Poison,Bug,-0.75,6.0,5.25
Grass,Poison,Rock,2.0,6.0,8.0
Grass,Poison,Ghost,9.5,6.0,15.5
Grass,Poison,Dragon,1.75,6.0,7.75
Grass,Poison,Dark,7.5,6.0,13.5
Grass,Poison,Steel,18.25,6.0,24.25
Grass,Poison,Fairy,9.0,6.0,15.0
Grass,Ground,Flying,8.0,8.0,16.0
Grass,Ground,Psychic,-6.0,8.0,2.0
Grass,Ground,Bug,-5.5,8.0,2.5
Grass,Ground,Rock,-5.0,8.0,3.0
Grass,Ground,Ghost,5.0,8.0,13.0
Grass,Ground,Dragon,4.0,8.0,12.0
Grass,Ground,Dark,-2.0,8.0,6.0
Grass,Ground,Steel,14.5,8.0,22.5
Grass,Ground,Fairy,3.0,8.0,11.0
Grass,Flying,Psychic,-4.0,10.0,6.0
Grass,Flying,Bug,-8.75,10.0,1.25
Grass,Flying,Rock,-1.0,10.0,9.0
Grass,Flying,Ghost,4.5,10.0,14.5
Grass,Flying,Dragon,5.25,10.0,15.25
Grass,Flying,Dark,0.5,10.0,10.5
Grass,Flying,Steel,18.75,10.0,28.75
Grass,Flying,Fairy,3.0,10.0,13.0
Grass,Psychic,Bug,-8.5,8.0,-0.5
Grass,Psychic,Rock,-7.0,8.0,1.0
Grass,Psychic,Ghost,0.0,8.0,8.0
Grass,Psychic,Dragon,-5.5,8.0,2.5
Grass,Psychic,Dark,2.0,8.0,10.0
Grass,Psychic,Steel,14.0,8.0,22.0
Grass,Psychic,Fairy,0.5,8.0,8.5
Grass,Bug,Rock,-4.0,4.0,0.0
Grass,Bug,Ghost,1.0,4.0,5.0
Grass,Bug,Dragon,-5.75,4.0,-1.75
Grass,Bug,Dark,-4.0,4.0,0.0
Grass,Bug,Steel,21.75,4.0,25.75
Grass,Bug,Fairy,-0.5,4.0,3.5
Grass,Rock,Ghost,4.0,12.0,16.0
Grass,Rock,Dragon,-3.5,12.0,8.5
Grass,Rock,Dark,-4.0,12.0,8.0
Grass,Rock,Steel,12.5,12.0,24.5
Grass,Rock,Fairy,1.0,12.0,13.0
Grass,Ghost,Dragon,5.5,10.0,15.5
Grass,Ghost,Dark,10.0,10.0,20.0
Grass,Ghost,Steel,22.5,10.0,32.5
Grass,Ghost,Fairy,10.0,10.0,20.0
Grass,Dragon,Dark,-2.5,6.0,3.5
Grass,Dragon,Steel,16.75,6.0,22.75
Grass,Dragon,Fairy,4.5,6.0,10.5
Grass,Dark,Steel,15.5,10.0,25.5
Grass,Dark,Fairy,4.5,10.0,14.5
Grass,Steel,Fairy,22.5,6.0,28.5
Ice,Fighting,Poison,-1.5,18.0,16.5
Ice,Fighting,Ground,-4.0,18.0,14.0
Ice,Fighting,Flying,-2.5,18.0,15.5
Ice,Fighting,Psychic,-8.0,18.0,10.0
Ice,Fighting,Bug,-8.0,18.0,10.0
Ice,Fighting,Rock,-10.0,18.0,8.0
Ice,Fighting,Ghost,3.5,18.0,21.5
Ice,Fighting,Dragon,-5.0,18.0,13.0
Ice,Fighting,Dark,-4.5,18.0,13.5
Ice,Fighting,Steel,9.0,18.0,27.0
Ice,Fighting,Fairy,-2.0,18.0,16.0
Ice,Poison,Ground,1.5,8.0,9.5
Ice,Poison,Flying,4.0,8.0,12.0
Ice,Poison,Psychic,-2.0,8.0,6.0
Ice,Poison,Bug,-2.5,8.0,5.5
Ice,Poison,Rock,-4.5,8.0,3.5
Ice,Poison,Ghost,7.0,8.0,15.0
Ice,Poison,Dragon,1.5,8.0,9.5
Ice,Poison,Dark,4.0,8.0,12.0
Ice,Poison,Steel,12.0,8.0,20.0
Ice,Poison,Fairy,4.5,8.0,12.5
Ice,Ground,Flying,2.0,18.0,20.0
Ice,Ground,Psychic,-6.0,18.0,12.0
Ice,Ground,Bug,-5.0,18.0,13.0
Ice,Ground,Rock,-10.5,18.0,7.5
Ice,Ground,Ghost,5.5,18.0,23.5
Ice,Ground,Dragon,-4.0,18.0,14.0
Ice,Ground,Dark,-3.0,18.0,15.0
Ice,Ground,Steel,10.0,18.0,28.0
Ice,Ground,Fairy,1.0,18.0,19.0
Ice,Flying,Psychic,-5.0,10.0,5.0
Ice,Flying,Bug,0.5,10.0,10.5
Ice,Flying,Rock,-4.0,10.0,6.0
Ice,Flying,Ghost,4.5,10.0,14.5
Ice,Flying,Dragon,-1.5,10.0,8.5
